Entity,Code,Year,Electric cars sold,Non-electric car sales
Australia,AUS,2012,250,861819
Australia,AUS,2013,290,878498
Australia,AUS,2014,1320,878680
Australia,AUS,2015,1760,924556
Australia,AUS,2016,1370,911963
Australia,AUS,2017,2300,917700
Australia,AUS,2018,3600,874449
Australia,AUS,2019,9200,757467
Australia,AUS,2020,6900,620373
Australia,AUS,2021,20400,708171
Australia,AUS,2022,38900,739100
Australia,AUS,2023,98000,718667
Australia,AUS,2024,112000,749538
Austria,AUT,2015,2800,308311
Austria,AUT,2016,5000,328333
Austria,AUT,2017,7100,347900
Austria,AUT,2018,9100,340900
Austria,AUT,2019,11500,317071
Austria,AUT,2020,23600,224821
Austria,AUT,2021,48000,192000
Austria,AUT,2022,47000,166636
Austria,AUT,2023,65000,175741
Austria,AUT,2024,62000,196333
Belgium,BEL,2010,56,559944
Belgium,BEL,2011,296,568935
Belgium,BEL,2012,910,478037
Belgium,BEL,2013,560,508531
Belgium,BEL,2014,1950,473660
Belgium,BEL,2015,3900,509258
Belgium,BEL,2016,9200,531976
Belgium,BEL,2017,14700,550685
Belgium,BEL,2018,13200,536800
Belgium,BEL,2019,17700,535425
Belgium,BEL,2020,47000,380273
Belgium,BEL,2021,71000,323444
Belgium,BEL,2022,97000,276077
Belgium,BEL,2023,193000,277732
Belgium,BEL,2024,197000,261140
Brazil,BRA,2012,40,3076883
Brazil,BRA,2013,72,2999928
Brazil,BRA,2015,89,2118959
Brazil,BRA,2016,177,1608914
Brazil,BRA,2017,430,1869135
Brazil,BRA,2018,410,2049590
Brazil,BRA,2019,1940,2307584
Brazil,BRA,2020,2600,1622400
Brazil,BRA,2021,13900,1496970
Brazil,BRA,2022,18500,1523167
Brazil,BRA,2023,52000,1681333
Brazil,BRA,2024,125000,1828125
Canada,CAN,2011,520,1267773
Canada,CAN,2012,1920,1369509
Canada,CAN,2013,3100,1405991
Canada,CAN,2014,5100,1452043
Canada,CAN,2015,6800,1504311
Canada,CAN,2016,11600,1514716
Canada,CAN,2017,16700,1653300
Canada,CAN,2018,44000,1527429
Canada,CAN,2019,51000,1449000
Canada,CAN,2020,51000,1163286
Canada,CAN,2021,87000,1272375
Canada,CAN,2022,115000,1095526
Canada,CAN,2023,171000,1144385
Canada,CAN,2024,252000,1230353
Chile,CHL,2014,19,240487
Chile,CHL,2015,36,189438
Chile,CHL,2016,31,206636
Chile,CHL,2017,135,210803
Chile,CHL,2018,198,247302
Chile,CHL,2019,305,217552
Chile,CHL,2020,239,119261
Chile,CHL,2021,860,295692
Chile,CHL,2022,1770,293230
Chile,CHL,2023,2110,279223
Chile,CHL,2024,5600,261067
China,CHN,2010,1440,14398560
China,CHN,2011,5120,15053704
China,CHN,2012,9860,13496989
China,CHN,2013,15730,16542165
China,CHN,2014,73000,18177000
China,CHN,2015,211000,20889000
China,CHN,2016,339000,22261000
China,CHN,2017,580000,23586667
China,CHN,2018,1090000,22101489
China,CHN,2019,1060000,20140000
China,CHN,2020,1140000,18860000
China,CHN,2021,3250000,18416667
China,CHN,2022,5900000,14444828
China,CHN,2023,8100000,13215790
China,CHN,2024,11300000,12241667
Denmark,DNK,2011,422,168378
Denmark,DNK,2012,502,172601
Denmark,DNK,2013,510,181633
Denmark,DNK,2014,1690,184024
Denmark,DNK,2015,4720,200497
Denmark,DNK,2016,1870,220749
Denmark,DNK,2017,1330,220337
Denmark,DNK,2018,4600,214448
Denmark,DNK,2019,9400,214410
Denmark,DNK,2020,32000,168000
Denmark,DNK,2021,65000,120714
Denmark,DNK,2022,57000,93000
Denmark,DNK,2023,80000,93913
Denmark,DNK,2024,96100,75507
Europe,,2010,1810,15081523
Europe,,2011,11410,15407509
Europe,,2012,28200,14071800
Europe,,2013,59000,13661930
Europe,,2014,96000,14021647
Europe,,2015,162000,16038000
Europe,,2016,233000,16409857
Europe,,2017,320000,17457778
Europe,,2018,390000,16566522
Europe,,2019,570000,16702727
Europe,,2020,1380000,12420000
Europe,,2021,2300000,11229412
Europe,,2022,2600000,9780952
Europe,,2023,3200000,11345455
Europe,,2024,3180000,11274546
European Union (27),,2010,1191,11908809
European Union (27),,2011,7460,11295570
European Union (27),,2012,19500,10243658
European Union (27),,2013,45000,9529468
European Union (27),,2014,57000,10121571
European Union (27),,2015,92000,11266025
European Union (27),,2016,140000,12587273
European Union (27),,2017,184000,12082667
European Union (27),,2018,240000,12391579
European Union (27),,2019,390000,13058276
European Union (27),,2020,1050000,9450000
European Union (27),,2021,1760000,8017778
European Union (27),,2022,1980000,7448571
European Union (27),,2023,2420000,8580000
European Union (27),,2024,2270000,8539524
Finland,FIN,2012,181,106290
Finland,FIN,2013,220,104542
Finland,FIN,2014,440,106877
Finland,FIN,2015,660,109340
Finland,FIN,2016,1420,116913
Finland,FIN,2017,3100,120900
Finland,FIN,2018,5680,117798
Finland,FIN,2019,7900,110010
Finland,FIN,2020,17200,78356
Finland,FIN,2021,30000,70000
Finland,FIN,2022,31000,52784
Finland,FIN,2023,48000,40889
Finland,FIN,2024,37000,37000
France,FRA,2010,272,2266395
France,FRA,2011,2656,2210677
France,FRA,2012,6360,1920913
France,FRA,2013,9750,1829873
France,FRA,2014,13100,1885451
France,FRA,2015,23800,1959533
France,FRA,2016,30600,2155114
France,FRA,2017,38000,2197294
France,FRA,2018,48000,2352000
France,FRA,2019,64000,2306370
France,FRA,2020,185000,1496818
France,FRA,2021,310000,1513529
France,FRA,2022,340000,1360000
France,FRA,2023,470000,1410000
France,FRA,2024,450000,1425000
Germany,DEU,2011,1640,3152206
Germany,DEU,2012,3400,3087509
Germany,DEU,2013,6800,2949722
Germany,DEU,2014,13500,2986500
Germany,DEU,2015,23000,3127685
Germany,DEU,2016,24000,3219243
Germany,DEU,2017,54000,3321000
Germany,DEU,2018,67000,3283000
Germany,DEU,2019,108000,3492000
Germany,DEU,2020,390000,2395714
Germany,DEU,2021,690000,1963846
Germany,DEU,2022,830000,1847419
Germany,DEU,2023,700000,2216667
Germany,DEU,2024,570000,2430000
Greece,GRC,2015,57,75943
Greece,GRC,2016,97,80736
Greece,GRC,2017,190,86174
Greece,GRC,2018,298,102461
Greece,GRC,2019,480,113806
Greece,GRC,2020,2180,78561
Greece,GRC,2021,7000,94449
Greece,GRC,2022,8300,96763
Greece,GRC,2023,17000,113769
Greece,GRC,2024,17000,124667
Iceland,ISL,2012,26,7853
Iceland,ISL,2013,103,7254
Iceland,ISL,2014,229,9313
Iceland,ISL,2015,560,13799
Iceland,ISL,2016,1160,17253
Iceland,ISL,2017,3040,18674
Iceland,ISL,2018,3680,14720
Iceland,ISL,2019,3100,8823
Iceland,ISL,2020,4900,4523
Iceland,ISL,2021,9100,3900
Iceland,ISL,2022,12000,5391
Iceland,ISL,2023,12400,5065
Iceland,ISL,2024,4300,5938
India,IND,2019,687,2861813
India,IND,2020,3143,2616024
India,IND,2021,12050,2926974
India,IND,2022,48023,3382191
India,IND,2023,82270,3835349
India,IND,2024,92095,4293381
Israel,ISR,2012,601,221992
Israel,ISR,2013,477,226666
Israel,ISR,2014,58,263578
Israel,ISR,2015,68,283265
Israel,ISR,2016,68,309023
Israel,ISR,2017,1630,311832
Israel,ISR,2018,3730,307103
Israel,ISR,2019,4750,292125
Israel,ISR,2020,6900,258485
Israel,ISR,2021,24000,323826
Israel,ISR,2022,43000,315333
Israel,ISR,2023,65000,317353
Israel,ISR,2024,76400,287410
Italy,ITA,2013,1040,1298960
Italy,ITA,2014,1340,1338660
Italy,ITA,2015,2240,1597760
Italy,ITA,2016,2700,1797300
Italy,ITA,2017,4900,1955100
Italy,ITA,2018,9700,1930300
Italy,ITA,2019,17500,1971136
Italy,ITA,2020,60000,1368571
Italy,ITA,2021,138000,1378484
Italy,ITA,2022,114000,1227176
Italy,ITA,2023,136000,1342261
Italy,ITA,2024,118000,1375671
Japan,JPN,2011,13015,4185372
Japan,JPN,2012,24000,4504302
Japan,JPN,2013,29000,4574175
Japan,JPN,2014,32000,4605681
Japan,JPN,2015,24000,4113931
Japan,JPN,2016,24400,4042267
Japan,JPN,2017,54000,4446000
Japan,JPN,2018,50000,4495455
Japan,JPN,2019,39000,4294333
Japan,JPN,2020,30000,3866104
Japan,JPN,2021,45000,3705000
Japan,JPN,2022,97000,3367286
Japan,JPN,2023,140000,3860000
Japan,JPN,2024,103000,3575571
Mexico,MEX,2015,99,1151064
Mexico,MEX,2016,770,1374230
Mexico,MEX,2017,1200,1317481
Mexico,MEX,2018,1800,1198200
Mexico,MEX,2019,1690,1124977
Mexico,MEX,2020,3800,771710
Mexico,MEX,2021,6500,826833
Mexico,MEX,2022,8400,866600
Mexico,MEX,2023,16100,1057233
Mexico,MEX,2024,27100,1204718
Netherlands,NLD,2011,877,547248
Netherlands,NLD,2012,5090,503910
Netherlands,NLD,2013,22600,388309
Netherlands,NLD,2014,14700,362223
Netherlands,NLD,2015,15400,424600
Netherlands,NLD,2016,43000,347909
Netherlands,NLD,2017,26000,380250
Netherlands,NLD,2018,27600,417561
Netherlands,NLD,2019,66500,376833
Netherlands,NLD,2020,87000,261000
Netherlands,NLD,2021,94000,230138
Netherlands,NLD,2022,107000,198714
Netherlands,NLD,2023,156000,198545
Netherlands,NLD,2024,182000,197167
New Zealand,NZL,2011,15,68167
New Zealand,NZL,2012,27,81791
New Zealand,NZL,2013,36,87769
New Zealand,NZL,2014,320,93798
New Zealand,NZL,2015,500,82833
New Zealand,NZL,2016,1540,89048
New Zealand,NZL,2017,3440,97736
New Zealand,NZL,2018,5600,108686
New Zealand,NZL,2019,6900,110049
New Zealand,NZL,2020,5400,94600
New Zealand,NZL,2021,10300,125226
New Zealand,NZL,2022,28200,128467
New Zealand,NZL,2023,30000,81111
New Zealand,NZL,2024,9700,78482
Norway,NOR,2012,4220,131909
Norway,NOR,2013,8240,133829
Norway,NOR,2014,21700,122967
Norway,NOR,2015,33900,120191
Norway,NOR,2016,45000,110172
Norway,NOR,2017,62000,96974
Norway,NOR,2018,73000,75980
Norway,NOR,2019,79000,62071
Norway,NOR,2020,106000,35333
Norway,NOR,2021,148000,24093
Norway,NOR,2022,156000,19281
Norway,NOR,2023,110000,12222
Norway,NOR,2024,113500,9870
Poland,POL,2010,16,333317
Poland,POL,2012,48,266619
Poland,POL,2013,37,284578
Poland,POL,2014,201,278966
Poland,POL,2015,220,360436
Poland,POL,2016,510,424490
Poland,POL,2017,1080,489829
Poland,POL,2018,1380,529389
Poland,POL,2019,2700,559800
Poland,POL,2020,8200,423379
Poland,POL,2021,16300,436478
Poland,POL,2022,25000,398729
Poland,POL,2023,30000,438750
Poland,POL,2024,32000,529404
Portugal,PRT,2011,172,156192
Portugal,PRT,2012,84,95371
Portugal,PRT,2013,185,108639
Portugal,PRT,2014,288,143712
Portugal,PRT,2015,1100,176319
Portugal,PRT,2016,1800,205097
Portugal,PRT,2017,4400,227179
Portugal,PRT,2018,8200,219578
Portugal,PRT,2019,12600,212400
Portugal,PRT,2020,19800,132508
Portugal,PRT,2021,29000,116000
Portugal,PRT,2022,34000,120545
Portugal,PRT,2023,63000,133875
Portugal,PRT,2024,70000,142121
Rest of World,,2011,587,6824994
Rest of World,,2012,1295,6814494
Rest of World,,2013,510,6295786
Rest of World,,2014,1410,6407681
Rest of World,,2015,3100,7042355
Rest of World,,2016,2900,6901862
Rest of World,,2017,8100,7355536
Rest of World,,2018,12300,7222994
Rest of World,,2019,21200,6603800
Rest of World,,2020,44000,5745474
Rest of World,,2021,81000,6149769
Rest of World,,2022,115000,6649706
Rest of World,,2023,181000,6522704
Rest of World,,2024,259000,6556789
South Korea,KOR,2015,3350,1519377
South Korea,KOR,2016,5030,1519212
South Korea,KOR,2017,14670,1513455
South Korea,KOR,2018,59400,1463677
South Korea,KOR,2019,35700,1451800
South Korea,KOR,2020,39700,1548300
South Korea,KOR,2021,91000,1353444
South Korea,KOR,2022,131000,1233583
South Korea,KOR,2023,132000,1385241
South Korea,KOR,2024,127900,1262317
Spain,ESP,2011,398,811847
Spain,ESP,2012,540,709986
Spain,ESP,2013,882,734118
Spain,ESP,2014,1730,908796
Spain,ESP,2015,2080,1037920
Spain,ESP,2016,3500,1203397
Spain,ESP,2017,7400,1314029
Spain,ESP,2018,11600,1420499
Spain,ESP,2019,17400,1321062
Spain,ESP,2020,42000,891333
Spain,ESP,2021,67000,850808
Spain,ESP,2022,82000,839348
Spain,ESP,2023,122000,894667
Spain,ESP,2024,128000,1035636
Sweden,SWE,2012,930,299070
Sweden,SWE,2013,1530,287149
Sweden,SWE,2014,4600,323971
Sweden,SWE,2015,8700,353800
Sweden,SWE,2016,12900,366512
Sweden,SWE,2017,20400,379600
Sweden,SWE,2018,29100,353795
Sweden,SWE,2019,41000,331727
Sweden,SWE,2020,94000,199750
Sweden,SWE,2021,135000,178953
Sweden,SWE,2022,163000,138852
Sweden,SWE,2023,171000,114000
Sweden,SWE,2024,157000,113690
Switzerland,CHE,2011,441,314559
Switzerland,CHE,2012,740,320999
Switzerland,CHE,2013,1370,324820
Switzerland,CHE,2014,2900,305611
Switzerland,CHE,2015,5700,329594
Switzerland,CHE,2016,6100,314953
Switzerland,CHE,2017,8400,314677
Switzerland,CHE,2018,9500,296952
Switzerland,CHE,2019,17300,297245
Switzerland,CHE,2020,34000,208857
Switzerland,CHE,2021,54000,203143
Switzerland,CHE,2022,59000,177000
Switzerland,CHE,2023,76000,177333
Switzerland,CHE,2024,67000,172286
Turkey,TUR,2014,68,566599
Turkey,TUR,2015,230,766437
Turkey,TUR,2016,127,746932
Turkey,TUR,2017,111,739889
Turkey,TUR,2018,235,521987
Turkey,TUR,2019,324,385390
Turkey,TUR,2020,1290,612996
Turkey,TUR,2021,3920,618302
Turkey,TUR,2022,7540,572460
Turkey,TUR,2023,68700,885467
Turkey,TUR,2024,105700,855209
United Kingdom,GBR,2010,261,2007431
United Kingdom,GBR,2011,1207,1945567
United Kingdom,GBR,2012,2570,1974353
United Kingdom,GBR,2013,3700,2308800
United Kingdom,GBR,2014,14500,2443127
United Kingdom,GBR,2015,29000,2607364
United Kingdom,GBR,2016,39000,2746714
United Kingdom,GBR,2017,49000,2529947
United Kingdom,GBR,2018,62000,2322615
United Kingdom,GBR,2019,75000,2197727
United Kingdom,GBR,2020,178000,1440182
United Kingdom,GBR,2021,310000,1321579
United Kingdom,GBR,2022,370000,1238696
United Kingdom,GBR,2023,450000,1425000
United Kingdom,GBR,2024,550000,1414286
United States,USA,2011,17800,11848867
United States,USA,2012,54000,12803143
United States,USA,2013,97000,13564972
United States,USA,2014,118000,15206675
United States,USA,2015,114000,16171714
United States,USA,2016,160000,16001616
United States,USA,2017,194000,14729077
United States,USA,2018,360000,15292174
United States,USA,2019,325000,15151191
United States,USA,2020,294000,12488609
United States,USA,2021,630000,12774255
United States,USA,2022,990000,12388378
United States,USA,2023,1390000,13241579
United States,USA,2024,1520000,13680000
World,OWID_WRL,2010,7450,62075883
World,OWID_WRL,2011,49000,67074288
World,OWID_WRL,2012,118000,65437556
World,OWID_WRL,2013,201000,69109345
World,OWID_WRL,2014,330000,74670000
World,OWID_WRL,2015,520000,75950588
World,OWID_WRL,2016,780000,80470000
World,OWID_WRL,2017,1200000,78800000
World,OWID_WRL,2018,2050000,79950000
World,OWID_WRL,2019,2080000,74957037
World,OWID_WRL,2020,2970000,64530000
World,OWID_WRL,2021,6600000,64367742
World,OWID_WRL,2022,10200000,57800000
World,OWID_WRL,2023,13700000,62411111
World,OWID_WRL,2024,17500000,62045455